id,latitude,longitude,settlementType,settlement
324394,55.804936,37.589922,г,Москва
324460,55.524047,37.518347,г,Москва
324957,51.863511,54.763003,п,Каргала
324959,51.717497,55.091279,г,Оренбург
324961,51.775720,55.185184,г,Оренбург
324962,51.782296,55.217680,п,Ростоши
324963,51.761702,55.101289,г,Оренбург
324964,51.767750,55.092614,г,Оренбург
324967,51.825114,55.111087,г,Оренбург
324968,51.761260,55.106426,г,Оренбург
324970,51.794495,55.163759,г,Оренбург
324971,51.774596,55.215595,г,Оренбург
324972,52.792126,52.265960,г,Бузулук
324973,51.770027,55.077422,г,Оренбург
325262,45.263100,41.836550,п,Рыздвяный
524263,55.888256,37.589363,г,Москва
524266,55.905494,37.412824,г,Химки
524268,55.710687,37.670465,г,Москва
524269,55.608409,38.858478,д,Давыдово
524272,55.719987,37.776215,г,Москва
524273,55.767332,37.524228,г,Москва
524274,55.679895,37.568497,г,Москва
524276,55.528798,37.194544,д,Рогозинино
524279,55.762399,37.619117,г,Москва
524280,55.724124,37.825155,г,Москва
524282,55.617276,37.715622,г,Москва
524283,55.685320,37.540156,г,Москва
524284,55.819392,37.578314,г,Москва
524287,55.662136,37.547046,г,Москва
524288,55.837380,37.744227,г,Москва
524290,55.321612,38.673104,г,Воскресенск
524299,55.659622,37.747738,г,Москва
524301,55.789856,37.631422,г,Москва
524308,55.587448,37.751933,п,Развилка
524311,55.664472,37.599238,г,Москва
524312,55.241647,37.963945,п,Ильинское
524315,55.662512,37.223277,г,
524318,55.151416,37.550360,г,
524322,55.655923,37.541505,г,Москва
524329,55.746299,37.546174,г,Москва
524331,55.688862,37.540668,г,Москва
524335,55.745904,37.559910,г,Москва
524343,55.752931,37.576024,г,Москва
524344,55.723460,37.585404,г,Москва
524346,55.805275,37.800874,г,Москва
524366,56.461001,43.646712,п,Лукино
524370,56.383579,41.324932,г,Ковров
524372,56.287332,43.928210,г,Нижний Новгород
524373,56.500527,43.605776,г,Балахна
524374,56.323148,44.000093,г,Нижний Новгород
524377,55.554970,45.919398,рп,Пильна
524380,55.221867,45.893767,с,Сеченово
524383,56.283496,43.890505,г,Нижний Новгород
524384,56.315026,42.949248,п,Мулино
524385,56.247881,43.463440,г,Дзержинск
524386,56.323802,43.981031,г,Нижний Новгород
524387,56.227554,43.400809,г,Дзержинск
524388,56.303857,43.989987,г,Нижний Новгород
524390,56.233394,43.436158,г,Дзержинск
524392,56.187090,43.101901,п,Володарск
524393,55.588529,44.288744,с,Елховка
524394,54.717641,44.822263,с,Починки
524395,55.554970,45.919398,рп,Пильна
524399,55.399873,43.820859,г,Нижний Новгород
524401,56.240467,43.492999,г,Дзержинск
524403,56.319230,43.930600,г,Нижний Новгород
524404,56.327061,43.846428,г,Кстово
524405,56.249139,43.580004,г,Нижний Новгород
524406,56.265696,43.637464,г,Дзержинск
524410,56.328808,44.012930,г,Нижний Новгород
524412,56.014188,45.036451,г,Лысково
524416,56.455491,43.525124,г,Балахна
524417,56.299011,43.997632,г,Нижний Новгород
524418,55.758645,47.168482,с,Красноармейское
524420,56.347799,43.870934,г,Нижний Новгород
524421,56.239503,43.863936,г,Нижний Новгород
524422,56.323263,44.012095,г,Нижний Новгород
524424,56.246255,43.965359,г,Нижний Новгород
524425,56.314836,44.001297,г,Нижний Новгород
524426,56.320302,43.947581,г,Нижний Новгород
524427,56.299242,43.945304,г,Нижний Новгород
524429,56.333779,43.959085,г,Нижний Новгород
524431,55.397999,43.845366,г,Арзамас
524433,56.312045,44.037194,г,Нижний Новгород
524435,56.302617,43.978453,г,Нижний Новгород
524436,56.150499,44.211296,г,Кстово
524439,56.302428,44.029136,г,Нижний Новгород
524440,56.338474,43.838325,г,Нижний Новгород
524441,56.296037,42.791629,п,Центральный
524443,56.225990,43.396749,г,Дзержинск
524445,58.603811,49.671912,г,Киров
524446,56.620998,47.858358,г,Йошкар-Ола
524448,58.602559,49.626458,г,Киров
524449,58.594142,49.656219,г,Киров
524450,58.637733,49.614079,г,Киров
524451,58.596149,49.658537,г,Киров
524452,58.602761,49.597200,г,Киров
524453,58.611110,49.680716,г,Киров
524454,58.594438,49.666657,г,Киров
524455,58.597481,49.605572,г,Киров
